iter	RMSE
0	0.2405637261
1	0.2214397394
2	0.2060069897
3	0.1914542466
4	0.1769502695
5	0.1636771696
6	0.1513778308
7	0.140924047
8	0.1312654378
9	0.1222544775
10	0.1142260313
11	0.1063700902
12	0.09931457454
13	0.09223870605
14	0.08668450666
15	0.08157347461
16	0.07622521733
17	0.07185584044
18	0.06826709154
19	0.06463093672
20	0.0614758269
21	0.05828027735
22	0.05511627209
23	0.05219669602
24	0.04989765248
25	0.04745860431
26	0.04529055646
27	0.04340729552
28	0.04166946747
29	0.03992020675
30	0.03820541308
31	0.03701620302
32	0.03565287502
33	0.0342824825
34	0.03301012265
35	0.03187489866
36	0.03077137468
37	0.02996374824
38	0.0292563189
39	0.02836232122
40	0.02769322012
41	0.02689649328
42	0.02631155217
43	0.02583323487
44	0.02537323535
45	0.02492821012
46	0.02442481036
47	0.02393662008
48	0.02355966604
49	0.02319353468
50	0.02279170471
51	0.02244344635
52	0.02205798955
53	0.02176971473
54	0.02136009829
55	0.02102275544
56	0.0206794777
57	0.02046815216
58	0.02026547523
59	0.02005787893
60	0.01985861301
61	0.01967628231
62	0.01943728163
63	0.01919433765
64	0.01900098734
65	0.01878034907
66	0.01864837894
67	0.01849723599
68	0.01827295828
69	0.01809339813
70	0.01797372462
71	0.01780894774
72	0.01757881697
73	0.01737533069
74	0.01726756112
75	0.01717111601
76	0.01699761013
77	0.01682080696
78	0.01672678265
79	0.01663318703
80	0.01641665865
81	0.01629603627
82	0.01613999857
83	0.01597856707
84	0.01589424857
85	0.01579488813
86	0.0156728402
87	0.01549345872
88	0.01544223669
89	0.01525922241
90	0.01512392796
91	0.01491117714
92	0.01481714595
93	0.01468066594
94	0.01459935199
95	0.01450933817
96	0.01445236796
97	0.01429856635
98	0.01417661222
99	0.01405253184
100	0.01386927472
101	0.01373619433
102	0.01365360476
103	0.01356663029
104	0.01347004382
105	0.01344548631
106	0.01336983247
107	0.01333718101
108	0.0132281106
109	0.01315827461
110	0.0130685591
111	0.01300038227
112	0.01292445587
113	0.01290700661
114	0.01280020685
115	0.01274022967
116	0.01272421879
117	0.01270500344
118	0.01257917057
119	0.01249833251
120	0.01247614372
121	0.01243786083
122	0.01241757025
123	0.01240086579
124	0.01235554706
125	0.01228812605
126	0.01221604066
127	0.01212802601
128	0.01202589596
129	0.01202145408
130	0.01196436856
131	0.01186374464
132	0.01176796817
133	0.01170484226
134	0.0116500429
135	0.01157682268
136	0.01150494032
137	0.01146169143
138	0.01140042613
139	0.01134632375
140	0.01130800413
141	0.01128545952
142	0.01121779933
143	0.01114401832
144	0.01112494104
145	0.01106712142
146	0.01101365466
147	0.01097287186
148	0.01091001047
149	0.01088299857
150	0.01084601154
151	0.01082333646
152	0.0107808852
153	0.01073274669
154	0.01067053188
155	0.01059880542
156	0.01054998735
157	0.01048627345
158	0.0104587124
159	0.01040605232
160	0.01034974199
161	0.01028294769
162	0.01023761317
163	0.01018792161
164	0.01014412395
165	0.01010964241
166	0.01004625043
167	0.01000250647
168	0.009957857797
169	0.009927025337
170	0.009890310731
171	0.009851824145
172	0.009830675606
173	0.009779938439
174	0.009741656749
175	0.00965422072
176	0.009606083833
177	0.009579708877
178	0.009552647451
179	0.009519160794
180	0.009496486667
181	0.009457920068
182	0.009427051719
183	0.00938834664
184	0.009317141838
185	0.009277760531
186	0.009237592739
187	0.009202888701
188	0.00916576619
189	0.009131686458
190	0.009083824918
191	0.009031145647
